type;adjusted;graph;consistent;gender;management;lifestyle;dag.first;exposure
A1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;TRUE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;TRUE;FALSE;FALSE;gender
A1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;FALSE;FALSE;gender
A1;TRUE;Fork;TRUE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;male;TRUE;TRUE;FALSE;gender
A1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;TRUE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;TRUE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;TRUE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;TRUE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;TRUE;TRUE;FALSE;gender
